t	u	lambda	p
0	0	3.1416	0
0.25	0	3.1416	0
0.5	0	3.1416	0
0.75	0	3.1416	0
1	0	3.1416	0
1.25	0	3.1416	0
1.5	0	3.1416	0
1.75	0	3.1416	0
2	0	3.1416	0
2.25	0	3.1416	0
2.5	0	3.1416	0
2.75	0	3.1416	0
3	0	3.1416	0
3.25	0	3.1416	0
3.5	0	3.1416	0
3.75	0	3.1416	0
4	0	3.1416	0
4.25	0	3.1416	0
4.5	0	3.1416	0
4.75	0	3.1416	0
5	0.23507	3.1416	0
5.25	0.059943	3.1416	0
5.5	0.5236	3.1416	0.5236
5.75	0.5236	3.1416	0.5236
6	0.5236	3.1335	0.5236
6.25	0.5236	3.1174	0.5236
6.5	0.5236	3.0931	0.5236
6.75	0.5236	3.0608	0.5236
7	0.5236	3.0204	0.5236
7.25	0.5236	2.972	0.5236
7.5	0.5236	2.9155	0.5236
7.75	0.5236	2.8508	0.5236
8	0.5236	2.7782	0.5236
8.25	0.5236	2.6974	0.5236
8.5	0.5236	2.6086	0.5236
8.75	0.5236	2.5116	0.5236
9	0.5236	2.4067	0.5236
9.25	0.47083	2.2936	0.5236
9.5	0.39123	2.1724	0.5236
9.75	0.27293	2.0432	0.40606
10	0.064951	1.9059	0.1412
10.25	-0.12659	1.7624	-0.08779
10.5	-0.23829	1.6166	-0.19923
10.75	-0.30252	1.4722	-0.25723
11	-0.36612	1.3309	-0.32943
11.25	-0.43276	1.1936	-0.41189
11.5	-0.48238	1.0613	-0.4726
11.75	-0.50773	0.93542	-0.5036
12	-0.51833	0.8168	-0.51747
12.25	-0.5231	0.70595	-0.52313
12.5	-0.5193	0.60308	-0.5236
12.75	-0.51342	0.50828	-0.5234
13	-0.50069	0.42156	-0.51387
13.25	-0.48007	0.34291	-0.49406
13.5	-0.45519	0.27218	-0.46975
13.75	-0.42907	0.20908	-0.44478
14	-0.40196	0.15322	-0.41872
14.25	-0.3733	0.10422	-0.39035
14.5	-0.34348	0.061685	-0.36026
14.75	-0.31356	0.025167	-0.32995
15	-0.28431	-0.0057938	-0.3003
15.25	-0.25589	-0.031666	-0.27136
15.5	-0.22839	-0.052905	-0.24312
15.75	-0.20202	-0.06996	-0.21588
16	-0.17707	-0.083264	-0.19002
16.25	-0.1537	-0.093238	-0.16575
16.5	-0.13196	-0.10028	-0.14308
16.75	-0.11185	-0.10477	-0.12202
17	-0.093406	-0.10705	-0.10262
17.25	-0.076627	-0.10745	-0.084926
17.5	-0.061488	-0.10626	-0.068906
17.75	-0.047931	-0.10377	-0.054504
18	-0.035885	-0.10021	-0.041654
18.25	-0.025277	-0.095811	-0.030291
18.5	-0.016027	-0.09077	-0.020338
18.75	-0.0080458	-0.085261	-0.011708
19	-0.0012393	-0.079439	-0.004306
19.25	0.0044877	-0.073437	0.001964
19.5	0.0092291	-0.067368	0.0071958
19.75	0.013077	-0.061329	0.011483
20	0.016122	-0.055402	0.014919
20.25	0.018453	-0.049651	0.017593
20.5	0.020151	-0.044131	0.019592
20.75	0.021296	-0.038882	0.020997
21	0.021961	-0.033935	0.021883
21.25	0.022215	-0.029312	0.022324
21.5	0.022121	-0.025027	0.022385
21.75	0.021737	-0.021086	0.022127
22	0.021115	-0.01749	0.021605
22.25	0.020302	-0.014235	0.020869
22.5	0.019341	-0.011314	0.019965
22.75	0.018268	-0.0087148	0.018932
23	0.017117	-0.0064234	0.017804
23.25	0.015915	-0.004424	0.016613
23.5	0.014688	-0.0026992	0.015386
23.75	0.013454	-0.0012307	0.014145
24	0.012232	4.6269e-07	0.012906
24.25	0.011034	0.0010135	0.011684
24.5	0.0098724	0.0018274	0.010494
24.75	0.0087541	0.0024611	0.0093509
25	0.0076854	0.002933	0.0082586
25.25	0.00667	0.0032606	0.0072077
25.5	0.00571	0.0034609	0.006199
25.75	0.0048056	0.00355	0.0052586
26	0.0039559	0.0035434	0.0044092
26.25	0.0031589	0.0034558	0.0036167
26.5	0.0024115	0.0033001	0.0028092
26.75	0.0017099	0.0030886	0.0019955
27	0.0010499	0.0028339	0.0013171
27.25	0.00042671	0.0025483	0.00085412
27.5	-0.00016458	0.0022424	0.00037703
27.75	-0.00072899	0.0019234	-0.00045334
28	-0.0012716	0.0015985	-0.001448
28.25	-0.0017972	0.0012806	-0.0018083
28.5	-0.0023104	0.00098509	-0.0013235
28.75	-0.002815	0.00071744	-0.0014224
29	-0.0033144	0.00047021	-0.0035955
29.25	-0.003812	0.00024491	-0.0061433
29.5	-0.0043102	7.5078e-05	-0.0048674
29.75	0	1.8934e-14	9.9136e-16
30	0	0	0
30.25	0	0	0
30.5	0	0	0
30.75	0	0	0
31	0	0	0
31.25	0	0	0
31.5	0	0	0
31.75	0	0	0
32	0	0	0
32.25	0	0	0
32.5	0	0	0
32.75	0	0	0
33	0	0	0
33.25	0	0	0
33.5	0	0	0
33.75	0	0	0
34	0	0	0
34.25	0	0	0
34.5	0	0	0
34.75	0	0	0
35	0	0	0
