t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.22955	0.23526	3.1416	0	0
5.25	0.058953	0.039245	3.1409	-2.1681e-09	1.7094e-05
5.5	0.50717	0.099497	1.9522	0.51131	0.030053
5.75	0.50085	0.1102	1.9515	0.51224	0.045673
6	0.44454	0.11753	1.9436	0.50278	0.058498
6.25	0.32239	0.12358	1.9278	0.47983	0.069143
6.5	0.30027	0.12883	1.9043	0.35595	0.077831
6.75	0.035715	0.13331	1.8733	0.03686	0.084816
7	-0.0058861	0.13699	1.8369	-0.0057941	0.090402
7.25	0.0018174	0.13998	1.7999	0.0025326	0.09489
7.5	0.00013764	0.14243	1.763	0.00020437	0.098524
7.75	-0.00077692	0.14443	1.726	-0.000795	0.10149
8	-0.00069751	0.14608	1.6891	-0.0006888	0.10394
8.25	-0.00068197	0.14744	1.6521	-0.00067561	0.10597
8.5	-0.00070249	0.14856	1.6152	-0.00069837	0.10766
8.75	-0.0007111	0.1495	1.5783	-0.00070673	0.10908
9	-0.00071807	0.15028	1.5414	-0.00071378	0.11027
9.25	-0.00072568	0.15093	1.5045	-0.0007217	0.11127
9.5	-0.00073288	0.15147	1.4676	-0.00072924	0.11212
9.75	-0.00073942	0.15192	1.4307	-0.00073618	0.11282
10	-0.00074532	0.15229	1.3938	-0.00074252	0.11341
10.25	-0.00075041	0.1526	1.357	-0.00074811	0.11391
10.5	-0.00075472	0.15284	1.3201	-0.00075294	0.11432
10.75	-0.00075803	0.15304	1.2833	-0.00075683	0.11465
11	-0.00076041	0.15318	1.2465	-0.00075982	0.11493
11.25	-0.00076165	0.15329	1.2097	-0.00076172	0.11515
11.5	-0.00076177	0.15335	1.1729	-0.00076255	0.11532
11.75	-0.00076063	0.15338	1.1361	-0.00076216	0.11546
12	-0.00075819	0.15338	1.0993	-0.00076051	0.11555
12.25	-0.00075435	0.15333	1.0626	-0.00075752	0.11561
12.5	-0.00074906	0.15325	1.0258	-0.0007531	0.11564
12.75	-0.00074222	0.15313	0.98907	-0.00074718	0.11563
13	-0.00073381	0.15296	0.95234	-0.0007397	0.11559
13.25	-0.00072367	0.15275	0.91562	-0.00073056	0.11551
13.5	-0.00071187	0.15247	0.87892	-0.00071977	0.1154
13.75	-0.00069824	0.15214	0.84222	-0.00070717	0.11525
14	-0.0006828	0.15172	0.80554	-0.0006928	0.11505
14.25	-0.00066552	0.15121	0.76887	-0.00067657	0.1148
14.5	-0.00064633	0.15059	0.73221	-0.00065846	0.1145
14.75	-0.00062521	0.14985	0.69556	-0.00063845	0.11412
15	-0.00060223	0.14894	0.65892	-0.00061653	0.11366
15.25	-0.00057742	0.14785	0.62229	-0.00059264	0.11309
15.5	-0.0005507	0.14653	0.58567	-0.00056687	0.11242
15.75	-0.00052077	0.14492	0.54905	-0.00053953	0.1116
16	-0.00049263	0.14296	0.51245	-0.0005105	0.11061
16.25	-0.00047347	0.14057	0.47586	-0.0004761	0.10941
16.5	-0.00042569	0.13763	0.43927	-0.00044506	0.10796
16.75	-0.00034564	0.13401	0.40269	-0.00044711	0.10619
17	-0.00068892	0.1295	0.36612	-0.00040343	0.10404
17.25	-0.0015742	0.12384	0.32955	-0.00018854	0.10141
17.5	-0.00052881	0.1167	0.29299	-0.00087923	0.098178
17.75	-0.0041239	0.10761	0.25644	-0.0037894	0.094171
18	-0.047271	0.096023	0.21989	-0.0022668	0.089175
18.25	-0.11929	0.081345	0.18341	-0.0034001	0.082899
18.5	-0.17601	0.063212	0.14696	-0.10336	0.074962
18.75	-0.36403	0.042123	0.11056	-0.336	0.064896
19	-0.45605	0.02163	0.075759	-0.43851	0.052187
19.25	-0.47721	0.018749	0.046138	-0.47482	0.036445
19.5	-0.27884	0.11645	0.023282	-0.50464	0.017961
19.75	-0.44486	0	0.0077489	-0.50238	1.5812e-05
20	-0.44486	0	-1.8874e-18	-9.5163e-18	2.8039e-05
20.25	0	0	0	0	0
20.5	0	0	0	0	0
20.75	0	0	0	0	0
21	0	0	0	0	0
21.25	0	0	0	0	0
21.5	0	0	0	0	0
21.75	0	0	0	0	0
22	0	0	0	0	0
22.25	0	0	0	0	0
22.5	0	0	0	0	0
22.75	0	0	0	0	0
23	0	0	0	0	0
23.25	0	0	0	0	0
23.5	0	0	0	0	0
23.75	0	0	0	0	0
24	0	0	0	0	0
24.25	0	0	0	0	0
24.5	0	0	0	0	0
24.75	0	0	0	0	0
25	0	0	0	0	0
